Title,Year,Age,IMDB,Rotten Tomatoes
Veep,2012,18+,8.3,93%
Banshee,2013,18+,8.4,89%
Oz,1997,18+,8.7,89%
Tom Clancy's Jack Ryan,2018,18+,8.1,71%
True Blood,2008,18+,7.8,70%
Good Omens,2019,7+,8.1,84%
Teen Wolf,2011,16+,7.6,81%
The Pacific,2010,18+,8.3,91%
Grimm,2011,16+,7.8,89%
The Fall,2013,18+,8.2,84%
The Night Manager,2016,16+,8.1,91%
The Grand Tour,2016,16+,8.7,66%
The Newsroom,2012,16+,8.6,59%
Counterpart,2017,18+,8.1,100%
Californication,2007,18+,8.3,57%
Homecoming,2018,16+,7.5,98%
Flight of the Conchords,2007,16+,8.5,94%
Entourage,2004,16+,8.4,66%
Sneaky Pete,2015,18+,8.2,96%
Downton Abbey,2010,16+,8.7,
Undone,2019,18+,8.2,100%
Generation Kill,2008,18+,8.5,86%
Humans,2015,16+,8,94%
Farscape,1999,16+,8.2,90%
Monk,2002,7+,7.9,90%
The Thick of It,2005,18+,8.7,85%
The Missing,2014,16+,8.2,93%
Carnival Row,2019,18+,7.9,57%
Eastbound & Down,2009,18+,8.2,91%
Father Ted,1995,16+,8.6,93%
The Mentalist,2008,16+,8.1,
Poldark,2015,16+,8.3,87%
Goliath,2016,16+,8.2,82%
Girls,2012,18+,7.3,89%
Catastrophe,2015,18+,8.2,98%
John Adams,2008,16+,8.5,81%
River,2015,7+,8,100%
Sex and the City,1998,18+,7.1,71%
The Lost Room,2006,7+,8.2,77%
Escape at Dannemora,2018,18+,8,89%
Tales from the Loop,2020,16+,7.5,68%
Modern Love,2019,18+,8,75%
Boss,2011,18+,8.1,81%
Mozart in the Jungle,2014,18+,8.2,94%
SpongeBob SquarePants,1999,7+,8.1,
Hanna,2019,16+,7.5,67%
The Durrells,2016,7+,8.1,98%
Gavin & Stacey,2007,16+,8.1,97%
Angels in America,2003,18+,8.2,90%
Defiance,2013,18+,7,77%
The Addams Family,1964,all,7.9,100%
Patrick Melrose,2018,18+,8.1,90%
Treme,2010,18+,8.2,96%
Hunters,2020,18+,7.2,64%
Red Oaks,2014,18+,7.9,93%
The Family Man,2019,16+,8.6,
ZeroZeroZero,2020,18+,8.2,80%
The Tick,2016,18+,7.4,95%
Patriot,2015,18+,8.3,90%
The Planets,2019,all,9.1,100%
Strike Back,2010,18+,8.2,
In Treatment,2008,18+,8.3,88%
Bored to Death,2009,18+,7.9,79%
Animal Kingdom,2016,18+,8.2,
Eureka,2006,7+,7.9,
Mr. Show with Bob and David,1995,18+,8.3,100%
Mildred Pierce,2011,18+,7.7,80%
MacGyver,1985,7+,7.7,
House of Lies,2012,18+,7.4,77%
Transparent,2014,18+,7.8,90%
Endeavour,2012,16+,8.6,86%
"Eerie, Indiana",1991,7+,8.2,100%
Fortitude,2015,18+,7.4,84%
BrainDead,2016,16+,8.1,65%
A Very English Scandal,2018,16+,7.7,95%
Victoria,2016,16+,8.2,87%
Philip K. Dick's Electric Dreams,2017,18+,7.3,72%
Big Love,2006,18+,7.5,80%
Carnivàle,2003,18+,8.4,
Harper's Island,2009,16+,7.5,64%
ALF,1986,all,7.4,
Ordeal by Innocence,2018,,7.3,91%
Salvation,2017,16+,7,44%
The Tunnel,2013,18+,7.8,91%
"Magnum, P.I.",1980,7+,7.5,
Undercover,2011,7+,8.9,
Extant,2014,16+,6.6,77%
Thirteen,2016,,7.3,94%
Flesh and Bone,2015,16+,8,62%
Hung,2009,18+,7.1,71%
Home Fires,2015,7+,8.2,100%
Inside Edge,2017,18+,8,
Enlightened,2011,18+,7.5,87%
Briarpatch,2020,18+,6.4,77%
Wolf Hall,2015,16+,8.1,98%
The Comeback,2005,18+,8,72%
The Test: A New Era For Australia's Team,2020,,9,
Vinland Saga,2019,,8.9,
Absentia,2017,18+,7.3,50%
Mirzapur,2018,,8.5,
Trapped,2015,18+,8.1,
Tin Star,2017,18+,7.3,57%
Too Old to Die Young,2019,18+,7.4,69%
"Kill Me, Heal Me",2015,16+,8.3,
The Carol Burnett Show,1967,all,8.8,
Beavis and Butt-head,1993,16+,7.5,
How to Make It in America,2010,18+,7.9,66%
Unforgotten,2015,18+,8.2,
Howards End,2017,7+,7.3,90%
Conversations with a Killer: The Ted Bundy Tapes,2019,18+,7.8,54%
Grantchester,2014,16+,7.9,95%
Baseball,1994,16+,9.2,
Britannia,2018,16+,6.7,74%
Toradora!,2008,16+,8.1,
A Different World,1987,,6.9,95%
Made In Abyss,2017,18+,8.4,
Life's Too Short,2011,16+,7.5,53%
Forever,2018,18+,7.2,94%
Hustle,2004,16+,8.1,
Spawn,1997,18+,8.1,
Brideshead Revisited,1981,,8.5,
Hunted,2012,18+,6.6,76%
Vanity Fair,2018,,7.3,88%
Informer,2018,,7.9,79%
Good Girls Revolt,2015,7+,8.2,73%
The Saint,1962,7+,7.5,
Klondike,2014,16+,7.4,80%
Mad Dogs,2015,18+,7.5,66%
Detectorists,2014,,8.6,
Arthur,1996,7+,7.3,
American Experience,1988,7+,8.5,
The Cosby Show,1984,all,7.3,
Parade's End,2012,18+,7.6,
Cold Feet,1998,7+,8.2,82%
Romanzo Criminale,2008,16+,8.6,
Tell Me You Love Me,2007,18+,7.3,62%
Hello Ladies,2013,18+,7.4,52%
This Is England '86,2010,18+,8.3,
Alpha House,2013,16+,7.5,79%
