Title,Year,Age,IMDB,Rotten Tomatoes
I Love Lucy,1951,all,8.4,
Nashville,2012,7+,7.7,90%
NYPD Blue,1993,18+,7.5,84%
Ramy,2019,18+,8,97%
Don't Trust the B---- in Apartment 23,2012,16+,7.3,85%
MythBusters,2003,7+,8.3,
The Goldbergs,2013,7+,8.1,
Letterkenny,2016,18+,8.7,
Cougar Town,2009,7+,6.9,89%
Regular Show,2010,7+,8.4,
Motherland: Fort Salem,2020,16+,6.9,58%
Bunheads,2012,16+,7.6,100%
CSI: Crime Scene Investigation,2000,16+,7.6,
One Tree Hill,2003,16+,7.6,
Afro Samurai,2007,18+,7.7,100%
Graceland,2013,16+,7.7,86%
Scream Queens,2015,16+,7.1,75%
Genius,2017,7+,8.4,70%
The Looming Tower,2018,18+,8,88%
The Promised Neverland,2019,18+,8.8,
Pinky and the Brain,1995,all,7.9,75%
Married... with Children,1987,7+,8,
Last Man Standing,2011,16+,7.6,
Emergence,2019,16+,7.2,94%
Terriers,2010,18+,8.4,92%
UnREAL,2015,18+,7.8,82%
Blackadder,1983,7+,8.1,
The Hitchhiker's Guide to the Galaxy,1981,7+,8,67%
Witches of East End,2013,16+,7.6,65%
The Wonder Years,1988,7+,8.3,
Robot Chicken,2005,18+,7.7,
Harlots,2017,18+,7.7,98%
Good Behavior,2016,16+,8.1,78%
The Golden Girls,1985,7+,7.9,
RuPaul's Drag Race All Stars,2012,16+,8.6,70%
Will & Grace,1998,16+,7.2,
The Outer Limits,1963,7+,8.2,91%
Salem,2014,18+,7.1,82%
The Hot Zone,2019,16+,7.3,90%
Baskets,2016,18+,7.5,92%
Make It or Break It,2009,16+,7.5,79%
The Great,2020,,7.8,81%
Sliders,1995,7+,7.4,
The Amazing World of Gumball,2011,7+,8.2,
A Million Little Things,2018,16+,7.9,53%
Man Seeking Woman,2015,18+,7.7,93%
Wu-Tang: An American Saga,2019,18+,8.3,80%
Ally McBeal,1997,16+,6.8,61%
Siren,2018,16+,7,
The Detour,2016,7+,7.7,90%
Kaguya-sama: Love is War,2019,16+,8.1,
My Mad Fat Diary,2013,16+,8.4,95%
High School DxD,2012,18+,7.6,
Face Off,2011,7+,8.2,
Mom,2013,16+,7.2,
Full House,1987,all,6.7,
ER,1994,16+,7.7,
PEN15,2019,18+,7.9,93%
Roseanne,1988,7+,7,76%
Touch,2012,7+,7.4,68%
Sesame Street,1969,all,8.1,
Hell's Kitchen,2005,16+,7.1,
Shark Tank,2009,7+,7.6,
The Baker and the Beauty,2020,7+,7.1,86%
The Amazing Race,2001,7+,7.6,
Daria,1997,16+,8,
War and Peace,2016,16+,8.2,
SIX,2017,18+,7.3,62%
Legit,2013,18+,8.2,96%
Star vs. the Forces of Evil,2015,7+,8,
The Brady Bunch,1969,all,6.7,77%
Chicago Med,2015,16+,7.5,
Ghost Adventures,2008,7+,7.5,
Body of Proof,2011,16+,7.1,76%
Roots,2016,16+,7.9,96%
Ghost Whisperer,2005,7+,6.3,
Digimon Adventure,1999,7+,7.3,
Whitechapel,2009,7+,7.9,75%
Tyrant,2014,18+,7.8,60%
Breeders,2020,18+,7.1,83%
Ben 10,2005,7+,7.2,
Alfred Hitchcock Presents,1955,16+,8.5,
Solar Opposites,2020,18+,8.2,
